,Sentence,Sentiment
0,apple breaks major support here are some levels to watch http stks jrmw aapl qqq,-1
1,apple up almost 20 from its february lows with very little fanfare aapl,1
2,fintech provider cafn cachet financial solutions surging forward today post earnings up 13 26 https t 9bj3csk2i9 jkhy fisv momo,1
3,fusioniq new positive timing signal on sbux today https t 9imlxz4yna please retweet signals,1
4,longpos tsla 256 break out thru 50 200 dma 197 230 upper head res 274 279 short squeeze in progress nr term obj 310 stop loss 239,1
5,ndx component tesla has announced it is recalling 2700 model x suvs tsla,-1
6,tesla model s deliveries are up 35 in germany record deliveries in march chart https t ycnclcbimv tsla,1
7,tesla model x recall adds to reliability issues tsla https t jvxq4doxnp,-1
8,3 56 trillion despite spending billions to prop up currency china has biggest foreign reserves,1
9,40 oil could be a game changer for russia,1
10,50 oil is already here,0
11,aapl downgrade is bias this stock is a buy,1
12,aapl 131 rally mode,1
13,aapl has broken its downtrend but 200dma proving to be stiff resistance short term https t vlzlgvihzv,1
14,aapl 50dma turned up macd crossover a half a hair away on the weekly eod break out likely,1
15,aapl 620 resistance area,0
16,aapl aapl finally breaking under the 49 m a with no buybacks this week look for aapl to test the 120 support area,-1
17,aapl aapl gundlach slams ipad mini sees downside to 425 http stks bdqv,-1
18,aapl aug 645 calls 550 67c http stks i9t3,1
19,aapl action into the close indicates that aapl probably hit a near term high momentum slowing after a huge run,1
20,aapl beat the estimates will still go down on lack of new products https t sx3z7u6n8o,-1
21,aapl dips being bought up real quick higher lows fo sho,1
22,aapl goldman sachs reiterates conviction buy on apple with a 155 pt spy djia gs https t h5hmxsitwm,1
23,aapl good time to buy will the run come before earnings or after,1
24,aapl i am big out from this seems its falling towards 530,-1
25,aapl i m sure those short are holding their breath hoping for a miracle lol,1
26,aapl nice rsi 33 bounce at 9 58,1
27,aapl now i m glad i got stopped out of my 113 weeklies when i did will re enter next monday for the earnings run up,0
28,aapl right back in buy the dips brought to you by cnbc lol,1
29,aapl stock climbs as barron s sees 40 upside jim cramer s take https t lkld9mvkbq,1
30,aapl taking out the shorts here a punishing reminder not to spear the strongest in the herd,1
31,aapl a new long if 110 61 is broken targets are 112 19 119 86 123 82 bears must retake 102 77 qqq nq f ndx https t 6l3m1wxchw,1
32,aapl afternoon selloff as usual will be brutal get ready to lose a ton of money,-1
33,aapl at pivot area on intraday chart break here could send this to 50 day sma 457 80 http stks jpbn,1
34,aapl at resistance right here sold my shares will buy back if it dips or if it goes in the 128 gap zone,-1
35,aapl bounce right now has no vol more vol when it slid,1
36,aapl bounces off support it seems,1
37,aapl broke descending channel will it hold,0
38,aapl double bottom could be in keep in mind,1
39,aapl http stks 1ldx clearing this descending trend line buy area now,1
40,aapl iphone shipments on track to exceed forecasts marketwatch https t 2cxahjix7d,1
41,aapl is now beaten down hated etc hhhmm opposite of 700 what happens next,-1
42,aapl long 630 91,1
43,aapl near a 3 drop that is a lot now the best i can do is hold er lol,-1
44,aapl nibbling on a small long via 525 buying off 13min charts,1
